seller,seller_URL,items_no,sales_no,admirers_no,year_join,metrics
LyraWorkshop,https://www.etsy.com/uk/shop/LyraWorkshop?ref=shop-header-name&listing_id=957363434&from_page=listing,23,5429,385,2016,['Speedy replies']
MBIndustry,https://www.etsy.com/uk/shop/MBIndustry?ref=shop-header-name&listing_id=875936525&from_page=listing,40,101,1440,2015,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
MDNT45,https://www.etsy.com/uk/shop/MDNT45?ref=shop-header-name&listing_id=777133561&from_page=listing,84,3451,16792,2016,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
MERINZEL,https://www.etsy.com/uk/shop/MERINZEL?ref=shop-header-name&listing_id=1587090229&from_page=listing,89,8747,36,Not known,['Rave reviews']
MJandSpidey,https://www.etsy.com/uk/shop/MJandSpidey?ref=shop-header-name&listing_id=929021878&from_page=listing,234,60,87,Not known,None
MONAMORaccessories,https://www.etsy.com/uk/shop/MONAMORaccessories?ref=shop-header-name&listing_id=1667579957&from_page=listing,159,62,9271,2016,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
MSAngelWings,https://www.etsy.com/uk/shop/MSAngelWings?ref=shop-header-name&listing_id=1484091883&from_page=listing,100,10513,475,2022,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
MadameMagpieByBea,https://www.etsy.com/uk/shop/MadameMagpieByBea?ref=shop-header-name&listing_id=1136531568&from_page=listing,256,719,1258,2016,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
MadeByZephrey,https://www.etsy.com/uk/shop/MadeByZephrey?ref=shop-header-name&listing_id=1545865481&from_page=listing,5,1660,34,2023,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
MadeWithMaridah,https://www.etsy.com/uk/shop/MadeWithMaridah?ref=shop-header-name&listing_id=1406495458&from_page=listing,81,98,6930,2019,"['Speedy replies', 'Rave reviews']"
MadsfiveWorkshop,https://www.etsy.com/uk/shop/MadsfiveWorkshop?ref=shop-header-name&listing_id=1679045437&from_page=listing,9,18363,138,Not known,None
MagicFrogPrints,https://www.etsy.com/uk/shop/MagicFrogPrints?ref=shop-header-name&listing_id=1665937511&from_page=listing,8,47,185,Not known,None
MajesticVelvets,https://www.etsy.com/uk/shop/MajesticVelvets?ref=shop-header-name&listing_id=481604710&from_page=listing,111,148,14531,2016,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
ManiacMasks,https://www.etsy.com/uk/shop/ManiacMasks?ref=shop-header-name&listing_id=749293884&from_page=listing,228,22489,3008,2016,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
MarieCosplayShop,https://www.etsy.com/uk/shop/MarieCosplayShop?ref=shop-header-name&listing_id=1231167073&from_page=listing,83,2741,3355,2017,"['Speedy replies', 'Rave reviews']"
MarkVerseStudios,https://www.etsy.com/uk/shop/MarkVerseStudios?ref=shop-header-name&listing_id=1449243262&from_page=listing,10,693,24,Not known,"['Speedy replies', 'Rave reviews']"
MaryToysGallery,https://www.etsy.com/shop/MaryToysGallery?ref=shop-header-name&listing_id=1712341859&from_page=listing,16,57,11,2021,None
MarzduelHobbyShop,https://www.etsy.com/uk/shop/MarzduelHobbyShop?ref=shop-header-name&listing_id=1427614046&from_page=listing,41,4,427,Not known,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
Mashrapur,https://www.etsy.com/uk/shop/Mashrapur?ref=shop-header-name&listing_id=765841232&from_page=listing,7,1015,501,2020,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
MaskMaskarada,https://www.etsy.com/uk/shop/MaskMaskarada?ref=shop-header-name&listing_id=824488441&from_page=listing,111,1112,877,2020,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
MasksByMandy,https://www.etsy.com/uk/shop/MasksByMandy?ref=shop-header-name&listing_id=1225329976&from_page=listing,25,956,1883,2012,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
MasksShopFinds,https://www.etsy.com/uk/shop/MasksShopFinds?ref=shop-header-name&listing_id=734656705&from_page=listing,56,6200,260,Not known,['Smooth dispatch']
MasterForg3D,https://www.etsy.com/uk/shop/MasterForg3D?ref=shop-header-name&listing_id=1112979604&from_page=listing,8,835,603,2018,['Rave reviews']
MaxxGreyCreations,https://www.etsy.com/uk/shop/MaxxGreyCreations?ref=shop-header-name&listing_id=1100471024&from_page=listing,243,1443,1505,Not known,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
MeduKitty,https://www.etsy.com/uk/shop/MeduKitty?ref=shop-header-name&listing_id=1400267915&from_page=listing,29,1003,374,Not known,None
MeduusatStudio,https://www.etsy.com/uk/shop/MeduusatStudio?ref=shop-header-name&listing_id=648388806&from_page=listing,96,633,7712,2017,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
MeetuTiaras,https://www.etsy.com/uk/shop/MeetuTiaras?ref=shop-header-name&listing_id=1400114556&from_page=listing,93,13223,1811,2022,"['Smooth dispatch', 'Speedy replies']"
MegCosplay,https://www.etsy.com/uk/shop/MegCosplay?ref=shop-header-name&listing_id=898558480&from_page=listing,10,3531,1052,2019,['Rave reviews']
MegaMartUSA,https://www.etsy.com/uk/shop/MegaMartUSA?ref=shop-header-name&listing_id=1709585289&from_page=listing,9,1460,0,Not known,None
MeigetsuShop,https://www.etsy.com/uk/shop/MeigetsuShop?ref=shop-header-name&listing_id=1311121791&from_page=listing,56,2,376,2021,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
MermaidMerchCo,https://www.etsy.com/uk/shop/MermaidMerchCo?ref=shop-header-name&listing_id=1357853522&from_page=listing,105,393,1815,2016,['Rave reviews']
MerrowCraftStore,https://www.etsy.com/uk/shop/MerrowCraftStore?ref=shop-header-name&listing_id=1558157375&from_page=listing,6,2518,12,Not known,"['Speedy replies', 'Rave reviews']"
MiKloArt,https://www.etsy.com/uk/shop/MiKloArt?ref=shop-header-name&listing_id=1574797272&from_page=listing,40,20,48,Not known,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
MiasMonsterMash,https://www.etsy.com/uk/shop/MiasMonsterMash?ref=shop-header-name&listing_id=1489986843&from_page=listing,53,323,2495,2020,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
